,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NM,34.5311075069373,0.0,33.0368802447609,0.0,34.5046195418062,0.0,32.5809060463131,0.0,33.0371923667981,0.0,33.2769094658166,0.0,35.946865635158,0.0,39.2644289556273
NY,34.2027870241205,0.0,34.4734877231238,0.0,34.968713241538,0.0,35.3395755601484,0.0,35.7260129017793,0.0,36.4695628256831,0.0,37.5454545631076,0.0,38.7200215957889
NC,35.5201428187388,0.0,36.0897386541237,0.0,36.0605298038098,0.0,34.3362816161708,0.0,35.2953352209423,0.0,37.8463318159595,0.0,37.0257535522064,0.0,38.0486636429762
ND,28.7383584462435,0.0,26.6415552928015,0.0,27.7766311292996,0.0,27.9769694591373,0.0,29.8406453933724,0.0,29.8958469575619,0.0,32.2467381642989,0.0,33.0860653577894
OH,34.4643311357954,0.0,32.1941189874383,0.0,32.2466118380309,0.0,32.9638473408184,0.0,35.1110532543654,0.0,35.4015276530113,0.0,36.578793004657,0.0,37.4767722972969
OK,31.4957980252727,0.0,32.6050318349386,0.0,31.7786514417542,0.0,32.7759372237401,0.0,32.9403595040354,0.0,32.6956634860411,0.0,32.4280061099112,0.0,33.643801149906
OR,34.7515561314796,0.0,33.5445319548131,0.0,33.3441055430364,0.0,34.7376095261188,0.0,33.636539216002,0.0,33.6473161310029,0.0,35.9967590279964,0.0,38.0863608469512
PA,34.5619466701224,0.0,33.2956046285002,0.0,32.1192190434363,0.0,35.1766002164798,0.0,33.7460482257813,0.0,35.310968989495,0.0,36.1732504118776,0.0,38.329728834237
RI,35.7947470609624,0.0,35.6622930115316,0.0,34.2648138880863,0.0,34.2438263429958,0.0,34.5377803199895,0.0,36.2815352359552,0.0,38.7462526041696,0.0,41.1333464163314
SC,34.013262163369,0.0,33.518261876931,0.0,34.1709328959633,0.0,32.1927476537813,0.0,34.5682666987052,0.0,33.7610208971722,0.0,37.7982595350147,0.0,37.4447797157429
SD,29.456711011697,0.0,30.1626130494209,0.0,28.2064603665732,0.0,29.5086858362766,0.0,31.8033775415685,0.0,31.4479229329523,0.0,32.0349652217149,0.0,35.6575034897828
TN,32.9718135675684,0.0,33.0050424915722,0.0,32.5617110929801,0.0,34.6305343883488,0.0,33.0996732732591,0.0,33.667986220456,0.0,34.6544977644874,0.0,36.3315833988486
TX,34.9238725122951,0.0,33.051084906324,0.0,32.8517377548346,0.0,30.9660719744485,0.0,32.8143984222599,0.0,34.5944490032292,0.0,33.6259209934147,0.0,36.3316299053987
UT,33.2599280885353,0.0,33.7824645479644,0.0,31.8519348185499,0.0,32.6676645667342,0.0,33.1749391966026,0.0,32.9982077900172,0.0,33.7401994083768,0.0,36.3556623499245
VT,32.8061507188325,0.0,30.3696459351403,0.0,30.5868016378468,0.0,34.6019291244383,0.0,33.7046782444418,0.0,33.0291438772829,0.0,35.2535495818126,0.0,37.491257670795
VA,32.3335635048222,0.0,31.3217485321377,0.0,31.3238937786601,0.0,33.9967304508029,0.0,34.3174202960493,0.0,34.1586807711765,0.0,34.8954677597847,0.0,39.0100964455939
WA,35.8351825098353,0.0,34.2873306928733,0.0,34.7938798389595,0.0,35.5620366048573,0.0,34.7998577438401,0.0,36.0131926805,0.0,35.6095225755867,0.0,40.4076090273103
WV,33.8237329359221,0.0,35.4327683489615,0.0,35.1183233445803,0.0,34.5730679042155,0.0,36.2360924762164,0.0,32.8352321244117,0.0,36.1430818565594,0.0,37.0810666078068
WI,34.557944611607,0.0,34.7797259570405,0.0,32.8706368141614,0.0,32.5955811263287,0.0,34.4643783136358,0.0,33.8752193757885,0.0,34.869533464086,0.0,36.7013378021037
WY,30.4779993258988,0.0,30.6964718298934,0.0,28.4636455563929,0.0,30.6993272761904,0.0,28.2809424088566,0.0,30.9257826330696,0.0,32.676744387126,0.0,34.4889338974414
